No,Usia (tahun),Jenis Kelamin,Pekerjaan Ortu,Penghasilan Ortu/bulan ,Kecamatan,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,PAR_LEG,PAR_PRES,CAPRES,SK_FIL,KL_FIL
95,16,Perempuan,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Kaligesing,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,25,Sedang
96,16,Laki-laki,"Pengusaha / Kontraktor / Bidang Sipil, Real Estate atau Teknik","Rp1.000.000,00 - Rp5.000.000,00",Bener,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Mungkin,Tidak terpengaruh,Demokrat,Demokrat,Prabowo Subianto,25,Sedang
97,16,Perempuan,"Pengusaha / Kontraktor / Bidang Sipil, Real Estate atau Teknik","Rp5.000.000 - Rp10.000.000,00",Banyuurip,Ya,Mengetahui,Ya,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Jarang,Ya,Mungkin,Tidak terpengaruh,Perindo,Gerindra,Prabowo Subianto,25,Sedang
98,16,Perempuan,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Jarang,Ya,Mungkin,Tidak terpengaruh,Demokrat,Demokrat,Belum menentukan pilihan,24,Sedang
99,16,Perempuan,Tidak Bekerja,"<Rp1.000.000,00",Banyuurip,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,23,Sedang
100,16,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Ya,Mungkin,Tidak terpengaruh,Demokrat,Gerindra,Prabowo Subianto,24,Sedang
101,16,Perempuan,Karyawan Swasta,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,24,Sedang
102,16,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Golkar,Golkar,Ganjar Pranowo,25,Sedang
103,16,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,Gerindra,PDIP,Ganjar Pranowo,26,Tinggi
104,16,Perempuan,Karyawan Swasta,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Kadang-kadang,Ya,Mungkin,Tidak terpengaruh,Golkar,PDIP,Ganjar Pranowo,23,Sedang
105,16,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Kaligesing,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Kadang-kadang,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,22,Sedang
106,16,Laki-laki,Petani / Nelayan,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ragu-ragu,Jarang,Mungkin,Mungkin,Ragu-ragu,Demokrat,PDIP,Ganjar Pranowo,20,Sedang
107,16,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Setuju,Tidak,Jarang,Mungkin,Tidak,Tidak terpengaruh,PDIP,Demokrat,Ganjar Pranowo,19,Sedang
108,17,Laki-laki,Lainnya,">Rp10.000.000,00",Bayan,Ya,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Setuju,Ya,Kadang-kadang,Mungkin,Tidak,Tidak terpengaruh,Golkar,Golkar,Ganjar Pranowo,24,Sedang
109,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Banyuurip,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Golkar,Golkar,Ganjar Pranowo,24,Sedang
110,17,Laki-laki,Lainnya,"<Rp1.000.000,00",Banyuurip,Ya,Sangat mengetahui,Ya,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PSI,PDIP,Ganjar Pranowo,28,Tinggi
111,16,Laki-laki,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Jarang,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,23,Sedang
112,17,Laki-laki,Buruh,"<Rp1.000.000,00",Gebang,Ya,Sangat mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,27,Tinggi
113,16,Perempuan,Guru Tetap / Honorer,"<Rp1.000.000,00",Kutoarjo,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Jarang,Ya,Mungkin,Ragu-ragu,PSI,Perindo,Ganjar Pranowo,20,Sedang
114,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Perindo,Perindo,Ganjar Pranowo,22,Sedang
115,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ragu-ragu,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Golkar,Demokrat,Ganjar Pranowo,21,Sedang
116,17,Perempuan,Buruh,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ragu-ragu,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Golkar,Demokrat,Ganjar Pranowo,21,Sedang
117,16,Laki-laki,Buruh,"<Rp1.000.000,00",Purworejo,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,25,Sedang
118,17,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Perindo,Perindo,Belum menentukan pilihan,27,Tinggi
119,16,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Purwodadi,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Jarang,Ya,Mungkin,Ragu-ragu,PAN,PDIP,Ganjar Pranowo,21,Sedang
120,16,Laki-laki,Karyawan Swasta,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Perindo,Gerindra,Prabowo Subianto,25,Sedang
121,17,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Belum menentukan pilihan,21,Sedang
122,17,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,27,Tinggi
123,16,Laki-laki,"Pengusaha / Kontraktor / Bidang Sipil, Real Estate atau Teknik","Rp5.000.000 - Rp10.000.000,00",Kemiri,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,23,Sedang
124,16,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Tidak,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Tidak Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,Demokrat,Ganjar Pranowo,25,Sedang
125,16,Laki-laki,Buruh,"<Rp1.000.000,00",Bruno,Ya,Kurang tahu,Tidak,Tidak tahu,Kurang Setuju,Tidak,Jarang,Tidak,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,20,Sedang
126,17,Laki-laki,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Bruno,Tidak,Tidak tahu,Tidak,Tidak tahu,Kurang Setuju,Tidak,Tidak pernah,Mungkin,Mungkin,Tidak terpengaruh,Golkar,PDIP,Belum menentukan pilihan,16,Rendah
127,17,Perempuan,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,Gerindra,Belum menentukan pilihan,27,Tinggi
128,17,Laki-laki,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,Gerindra,Prabowo Subianto,26,Tinggi
129,17,Laki-laki,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Ya,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,25,Sedang
130,17,Laki-laki,Lainnya,"Rp5.000.000 - Rp10.000.000,00",Kemiri,Ya,Mengetahui,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PAN,PAN,Prabowo Subianto,26,Tinggi
131,17,Laki-laki,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Keinginan sendiri,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,29,Tinggi
132,16,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Perindo,Perindo,Anies Baswedan,26,Tinggi
133,18,Laki-laki,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Mengetahui,Ya,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Kadang-kadang,Mungkin,Tidak,Tidak terpengaruh,PKB,PDIP,Ganjar Pranowo,25,Sedang
134,18,Laki-laki,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Kurang tahu,Ya,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,24,Sedang
135,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Ya,Ragu-ragu,PDIP,PDIP,Prabowo Subianto,20,Sedang
136,16,Perempuan,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Kemiri,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Mungkin,Tidak,Tidak terpengaruh,Perindo,Perindo,Belum menentukan pilihan,22,Sedang
137,17,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Demokrat,Demokrat,Prabowo Subianto,25,Sedang
138,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Ya,Mungkin,Tidak terpengaruh,Perindo,PDIP,Ganjar Pranowo,22,Sedang
139,17,Perempuan,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Tidak pernah,Ya,Mungkin,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,21,Sedang
140,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,29,Tinggi
141,17,Perempuan,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Kemiri,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Perindo,Perindo,Belum menentukan pilihan,22,Sedang
142,16,Perempuan,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Bruno,Ya,Kurang tahu,Ya,Media sosial dan media berita,Biasa Saja,Ya,Tidak pernah,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Prabowo Subianto,22,Sedang
143,16,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Bruno,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,Perindo,Perindo,Ganjar Pranowo,23,Sedang
144,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,26,Tinggi
145,16,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,29,Tinggi
146,17,Laki-laki,"Pengusaha / Kontraktor / Bidang Sipil, Real Estate atau Teknik","Rp5.000.000 - Rp10.000.000,00",Bruno,Ya,Kurang tahu,Ya,Media sosial dan media berita,Biasa Saja,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,24,Sedang
147,17,Laki-laki,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Prabowo Subianto,27,Tinggi
148,17,Laki-laki,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Prabowo Subianto,24,Sedang
149,17,Laki-laki,Lainnya,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Ya,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Mungkin,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,25,Sedang
150,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Butuh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Ganjar Pranowo,26,Tinggi
151,17,Perempuan,Petani / Nelayan,">Rp10.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Perindo,Demokrat,Ganjar Pranowo,26,Tinggi
152,17,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,Demokrat,Ganjar Pranowo,26,Tinggi
153,16,Laki-laki,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Belum menentukan pilihan,26,Tinggi
154,16,Perempuan,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Ragu-ragu,Demokrat,Demokrat,Prabowo Subianto,24,Sedang
155,16,Perempuan,Lainnya,"<Rp1.000.000,00",Kemiri,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Sering,Ya,Tidak,Ragu-ragu,Golkar,Perindo,Ganjar Pranowo,23,Sedang
156,17,Laki-laki,Karyawan Swasta,"Rp5.000.000 - Rp10.000.000,00",Bruno,Ya,Mengetahui,Ya,Keinginan sendiri,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Golkar,Golkar,Prabowo Subianto,30,Tinggi
157,17,Laki-laki,Karyawan Swasta,"<Rp1.000.000,00",Kemiri,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Ganjar Pranowo,25,Sedang
158,18,Perempuan,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Tidak,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,Demokrat,Belum menentukan pilihan,22,Sedang
159,16,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Bruno,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Kadang-kadang,Ya,Mungkin,Ragu-ragu,PAN,PDIP,Belum menentukan pilihan,22,Sedang
160,17,Perempuan,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Keinginan sendiri,Tidak Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,PAN,PDIP,Belum menentukan pilihan,26,Tinggi
161,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,Gerindra,Prabowo Subianto,27,Tinggi
162,17,Perempuan,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Kurang Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,Demokrat,PSI,Prabowo Subianto,25,Sedang
163,16,Laki-laki,Buruh,"<Rp1.000.000,00",Bruno,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Kadang-kadang,Ya,Mungkin,Ragu-ragu,PDIP,Demokrat,Belum menentukan pilihan,22,Sedang
164,17,Perempuan,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Bruno,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Perindo,Nasdem,Belum menentukan pilihan,24,Sedang
165,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,Gerindra,Belum menentukan pilihan,24,Sedang
166,17,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Perindo,PDIP,Ganjar Pranowo,27,Tinggi
167,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Perindo,Nasdem,Belum menentukan pilihan,24,Sedang
168,17,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Perindo,Nasdem,Belum menentukan pilihan,22,Sedang
169,16,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Perindo,Nasdem,Belum menentukan pilihan,22,Sedang
170,18,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Ya,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Jarang,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,23,Sedang
171,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Pituruh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Nasdem,PDIP,Belum menentukan pilihan,24,Sedang
172,17,Laki-laki,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Tidak tahu,Ya,Orang tua - keluarga atau Teman,Tidak Setuju,Ragu-ragu,Kadang-kadang,Mungkin,Mungkin,Ragu-ragu,PDIP,PDIP,Belum menentukan pilihan,23,Sedang
173,17,Perempuan,Buruh,"<Rp1.000.000,00",Pituruh,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PAN,PAN,Belum menentukan pilihan,28,Tinggi
174,17,Laki-laki,Karyawan Swasta,"<Rp1.000.000,00",Butuh,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Golkar,Golkar,Belum menentukan pilihan,23,Sedang
175,16,Laki-laki,Lainnya,"<Rp1.000.000,00",Butuh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Mungkin,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,25,Sedang
176,17,Laki-laki,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Butuh,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Ya,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,26,Tinggi
177,17,Laki-laki,Buruh,"<Rp1.000.000,00",Butuh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,25,Sedang
178,17,Laki-laki,Petani / Nelayan,"<Rp1.000.000,00",Butuh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Sering,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Belum menentukan pilihan,25,Sedang
179,16,Laki-laki,Lainnya,"<Rp1.000.000,00",Butuh,Tidak,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Tidak,Sering,Mungkin,Tidak,Ragu-ragu,Demokrat,PDIP,Anies Baswedan,22,Sedang
180,17,Laki-laki,Buruh,"<Rp1.000.000,00",Butuh,Tidak,Tidak tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Ya,Mungkin,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,21,Sedang
181,16,Laki-laki,Petani / Nelayan,"<Rp1.000.000,00",Butuh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,Gerindra,Prabowo Subianto,26,Tinggi
182,18,Laki-laki,Petani / Nelayan,"<Rp1.000.000,00",Butuh,Ya,Sangat mengetahui,Ya,Media sosial dan media berita,Biasa Saja,Ya,Sering,Ya,Tidak,Tidak terpengaruh,Demokrat,Demokrat,Belum menentukan pilihan,28,Tinggi
183,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Butuh,Tidak,Tidak tahu,Tidak,Tidak tahu,Biasa Saja,Ragu-ragu,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Demokrat,Perindo,Ganjar Pranowo,18,Sedang
184,17,Perempuan,Buruh,"<Rp1.000.000,00",Kutoarjo,Tidak,Kurang tahu,Tidak,Tidak tahu,Tidak Setuju,Ya,Tidak pernah,Ya,Mungkin,Tidak terpengaruh,Golkar,Golkar,Ganjar Pranowo,21,Sedang
185,17,Perempuan,Karyawan Swasta,"<Rp1.000.000,00",Butuh,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PAN,Belum menentukan pilihan,26,Tinggi
186,18,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Butuh,Ya,Kurang tahu,Tidak,Keinginan sendiri,Biasa Saja,Ya,Tidak pernah,Tidak,Ya,Tidak terpengaruh,Golkar,Demokrat,Prabowo Subianto,20,Sedang
187,16,Laki-laki,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Butuh,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,Demokrat,Prabowo Subianto,26,Tinggi
188,17,Perempuan,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Butuh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,25,Sedang
189,17,Perempuan,Buruh,"<Rp1.000.000,00",Butuh,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,PAN,PDIP,Ganjar Pranowo,23,Sedang
190,16,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Butuh,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,24,Sedang
191,18,Laki-laki,Buruh,"<Rp1.000.000,00",Pituruh,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Tidak pernah,Tidak,Mungkin,Tidak terpengaruh,Golkar,Golkar,Belum menentukan pilihan,19,Sedang
